obs_id;site_id;holiday;date
20;20;Confederate Heroes Day;2017-01-19
32;20;Texas Independence Day (Observed);2014-03-03
47;20;New year;2015-01-01
112;34;Memorial Day;2015-05-25
122;34;Birthday of Martin Luther King, Jr.;2017-01-16
143;42;Assumption of Mary to Heaven;2017-08-15
149;42;Ascension Thursday;2015-05-14
165;42;Armistice Day;2017-11-11
197;48;Assumption of Mary to Heaven;2014-08-15
242;49;Immaculate Conception;2017-12-08
244;49;St Stephen's Day;2014-12-26
260;88;New year;2015-01-01
295;59;Victory in Europe Day;2017-05-08
303;59;Labour Day;2014-05-01
317;59;Easter Monday;2016-03-28
328;59;Assumption of Mary to Heaven;2014-08-15
360;91;Whit Monday;2016-05-16
404;60;All Saints Day;2015-11-01
418;61;Epiphany;2017-01-06
421;61;All Saints Day;2016-11-01
437;61;Christmas Day;2017-12-25
439;62;Immaculate Conception;2017-12-08
471;63;Immaculate Conception;2015-12-08
479;63;International Workers' Day;2015-05-01
480;63;All Saints Day;2016-11-01
487;63;Christmas Day;2016-12-25
498;64;Easter Monday;2015-04-06
519;64;Epiphany;2015-01-06
525;64;New year;2017-01-01
531;65;International Workers' Day;2016-05-01
538;65;Republic Day;2015-06-02
548;65;New year;2015-01-01
554;65;Easter Monday;2016-03-28
557;65;Christmas Day;2016-12-25
559;66;Liberation Day;2016-04-25
581;68;International Workers' Day;2016-05-01
640;69;Republic Day;2016-06-02
648;86;Christmas Day;2017-12-25
695;70;Liberation Day;2016-04-25
735;71;St Stephen's Day;2015-12-26
738;71;Liberation Day;2017-04-25
754;72;Dia da Liberdade;2016-04-25
774;72;Dia de Portugal;2016-06-10
796;73;Epiphany;2017-01-06
813;74;Easter Monday;2016-03-28
895;75;All Saints Day;2016-11-01
902;76;Liberation Day;2016-04-25
905;76;New year;2016-01-01
928;76;Immaculate Conception;2015-12-08
957;77;Immaculate Conception;2016-12-08
967;90;International Workers' Day;2014-05-01
987;90;Assumption of Mary to Heaven;2015-08-15
1011;87;New year;2017-01-01
1031;87;Assumption of Mary to Heaven;2015-08-15
1073;1;International Workers' Day;2016-05-01
1077;1;St Stephen's Day;2015-12-26
1088;2;New year;2014-01-01
1110;3;New year;2016-01-01
1134;3;Liberation Day;2015-04-25
1136;3;St Stephen's Day;2016-12-26
1147;4;Epiphany;2015-01-06
1166;4;New year;2016-01-01
1168;4;St Stephen's Day;2016-12-26
1188;81;St Stephen's Day;2016-12-26
1199;81;Easter Monday;2014-04-21
1201;81;Epiphany;2016-01-06
1219;5;Christmas Day;2017-12-25
1220;5;New year;2015-01-01
1240;5;Liberation Day;2015-04-25
1243;5;Liberation Day;2017-04-25
1254;6;New year;2017-01-01
1263;6;Epiphany;2016-01-06
1270;6;Easter Monday;2015-04-06
1300;83;Epiphany;2015-01-06
1316;79;St Stephen's Day;2017-12-26
1354;79;Easter Monday;2016-03-28
1358;79;New year;2015-01-01
1368;8;Assumption of Mary to Heaven;2016-08-15
1371;8;International Workers' Day;2016-05-01
1429;9;International Workers' Day;2016-05-01
1467;10;St Stephen's Day;2014-12-26
1473;10;Republic Day;2015-06-02
1506;12;Republic Day;2017-06-02
1514;12;Republic Day;2016-06-02
1524;13;Liberation Day;2016-04-25
1534;13;Immaculate Conception;2017-12-08
1546;13;Liberation Day;2014-04-25
1551;13;Epiphany;2017-01-06
1583;14;Republic Day;2016-06-02
1588;14;Christmas Day;2016-12-25
1589;14;Epiphany;2015-01-06
1608;78;Immaculate Conception;2016-12-08
1622;78;St Stephen's Day;2017-12-26
1650;15;Liberation Day;2015-04-25
1669;16;Christmas Day;2017-12-25
1679;16;Easter Monday;2015-04-06
1682;16;Republic Day;2017-06-02
1687;16;Immaculate Conception;2015-12-08
1692;17;Epiphany;2015-01-06
1702;17;Christmas Day;2017-12-25
1739;18;International Workers' Day;2017-05-01
1741;18;Easter Monday;2017-04-17
1797;19;New year;2015-01-01
1855;80;New year;2017-01-01
1857;80;St Stephen's Day;2016-12-26
1858;80;All Saints Day;2016-11-01
1870;80;Easter Monday;2015-04-06
1881;21;Assumption of Mary to Heaven;2017-08-15
1888;21;Epiphany;2016-01-06
1909;23;Epiphany;2017-01-06
1931;24;All Saints Day;2016-11-01
1950;25;Republic Day;2017-06-02
2026;27;Liberation Day;2016-04-25
2058;28;International Workers' Day;2015-05-01
2062;28;St Stephen's Day;2017-12-26
2077;29;Human Rights Day;2015-03-21
2091;29;Christmas Day;2016-12-25
