obs_id;site_id;surface;base_temperature;monday_is_day_off;tuesday_is_day_off;wednesday_is_day_off;thursday_is_day_off;friday_is_day_off;saturday_is_day_off;sunday_is_day_off
1;88;17.321666637435555;18.0;False;False;False;False;False;True;True
39;65;700.6161668775603;18.0;False;False;False;False;False;True;True
77;46;487.12467790744273;18.0;False;False;False;False;False;True;True
0;28;1334.9761104909703;18.0;False;False;False;False;False;True;True
12;2;10060.0609357754;18.0;False;False;False;False;False;True;True
16;32;11990.293967537584;18.0;False;False;False;False;False;True;True
33;86;1278.139659176115;18.0;False;False;False;False;False;True;True
45;64;394.6370808655629;18.0;False;False;False;False;False;True;True
51;27;1439.9368176013234;18.0;False;False;False;False;False;True;True
52;35;5046.825882745907;18.0;False;False;False;False;False;True;True
64;41;1142.3452776584309;18.0;False;False;False;False;False;True;True
72;60;393.3574302976485;18.0;False;False;False;False;False;True;True
19;29;14388.713212683797;18.0;False;False;False;False;False;True;True
35;49;14.884534437442198;18.0;False;False;False;False;False;True;True
36;22;659.7325836613309;18.0;False;False;False;False;False;True;True
74;56;16748.180709546432;18.0;False;False;False;False;False;True;True
14;30;8530.808335635811;18.0;False;False;False;False;False;True;True
20;17;19758.452914001537;18.0;False;False;False;False;False;True;True
27;52;5703.070018789732;18.0;False;False;False;False;False;True;True
41;74;11070.615073936644;18.0;False;False;False;False;False;True;True
50;7;2381.057123793289;18.0;False;False;False;False;False;True;True
84;19;336.7854926071596;18.0;False;False;False;False;False;True;True
3;84;20258.56762693205;18.0;False;False;False;False;False;True;True
10;25;587.763238186948;18.0;False;False;False;False;False;True;True
58;9;824.844514784403;18.0;False;False;False;False;False;True;True
67;48;2201.924904074985;18.0;False;False;False;False;False;True;True
86;3;19067.465109346085;18.0;False;False;False;False;False;True;True
21;75;6946.494671784458;18.0;False;False;False;False;False;True;True
54;69;817.4817056965549;18.0;False;False;False;False;False;True;True
59;90;20625.80746551685;18.0;False;False;False;False;False;True;True
80;24;2206.308125129435;18.0;False;False;False;False;False;True;True
82;40;1435.3747495297573;18.0;False;False;False;False;False;True;True
83;63;1046.0328463133192;18.0;False;False;False;False;False;True;True
87;34;17449.2419360091;18.0;False;False;False;False;False;True;True
37;12;16582.207785210918;18.0;False;False;False;False;False;True;True
42;71;2036.8748266831967;18.0;False;False;False;False;False;True;True
48;5;215.871986374259;18.0;False;False;False;False;False;False;False
68;55;22495.50705551915;18.0;False;False;False;False;False;True;True
7;20;1218.7383826940577;18.0;False;False;False;False;False;True;True
24;80;652.9254679715958;18.0;False;False;False;False;False;True;True
