,obs_id,site_id,timestamp,target
157,2280,83,2014-01-02 04:00:00+00:00,975.0800604879978
148,2182,83,2014-01-03 15:00:00+00:00,28087.11911490217
4329,2017,83,2014-01-06 02:00:00+00:00,412431.6442034454
3802,2082,83,2014-01-13 15:00:00+00:00,22095.545590678677
2819,2062,83,2014-01-14 22:00:00+00:00,33174.053741293115
734,2136,83,2014-01-15 23:00:00+00:00,4565.4831287639845
4144,2294,83,2014-01-21 06:00:00+00:00,790296.2350734824
2702,447,79,2014-01-25 10:00:00+00:00,63021.52802661422
4134,2116,83,2014-01-25 21:00:00+00:00,43926.83568159011
394,599,79,2014-01-30 00:00:00+00:00,5909.3777198348125
2712,523,79,2014-02-01 13:00:00+00:00,60367.934509230356
497,2214,83,2014-02-02 20:00:00+00:00,6906.151774343418
2720,617,79,2014-02-04 11:00:00+00:00,7411.17692588001
1814,2238,83,2014-02-08 19:00:00+00:00,5510.323284601164
2115,1941,83,2014-02-11 10:00:00+00:00,6785.3833430550785
729,2073,83,2014-02-12 12:00:00+00:00,4304.621492074788
2820,2066,83,2014-02-14 13:00:00+00:00,55721.62277760159
4742,693,79,2014-02-14 17:00:00+00:00,12468.571688764074
2031,602,79,2014-02-15 18:00:00+00:00,7284.004152296295
5183,2290,83,2014-02-17 06:00:00+00:00,6009.414288947283
3707,663,79,2014-02-17 18:00:00+00:00,11175.94240670031
2357,2260,83,2014-02-17 21:00:00+00:00,18564.237651421325
1413,2286,83,2014-02-17 23:00:00+00:00,1852.337041973356
3062,559,79,2014-02-19 15:00:00+00:00,15742.307931610694
130,1925,83,2014-02-21 14:00:00+00:00,11789.428886165417
4344,2273,83,2014-02-23 16:00:00+00:00,47006.1397424786
4039,690,79,2014-02-25 19:00:00+00:00,573.4347498145369
5163,2035,83,2014-02-27 20:00:00+00:00,13831.258431274162
2136,2156,83,2014-02-28 04:00:00+00:00,24132.085798816897
478,1935,83,2014-02-28 09:00:00+00:00,19384.325144498995
144,2154,83,2014-02-28 10:00:00+00:00,25103.35686723924
1689,1992,83,2014-03-02 04:00:00+00:00,105424.96363970435
1092,713,79,2014-03-02 10:00:00+00:00,17395.493236676695
1045,1999,83,2014-03-04 01:00:00+00:00,3657.6918201686576
4137,2129,83,2014-03-05 04:00:00+00:00,12185.267847452542
5165,2054,83,2014-03-06 09:00:00+00:00,23599.76790082963
2034,629,79,2014-03-06 12:00:00+00:00,9943.117688289442
1725,620,79,2014-03-07 17:00:00+00:00,11844.890972188576
4040,696,79,2014-03-11 13:00:00+00:00,7289.586921862181
4346,2289,83,2014-03-12 08:00:00+00:00,11782.12784199035
4121,1922,83,2014-03-12 19:00:00+00:00,43939.64559140406
2708,503,79,2014-03-13 03:00:00+00:00,9051.529259782872
2133,2128,83,2014-03-14 16:00:00+00:00,4967.003309618937
2596,704,79,2014-03-15 12:00:00+00:00,8490.922532884028
4610,675,79,2014-03-16 05:00:00+00:00,18510.405820329346
4345,2285,83,2014-03-16 08:00:00+00:00,13152.682537693403
41,486,79,2014-03-17 14:00:00+00:00,143.48495648457677
2589,576,79,2014-03-19 19:00:00+00:00,120278.04562181933
398,695,79,2014-03-20 19:00:00+00:00,3659.2362862721375
2711,517,79,2014-03-22 07:00:00+00:00,130982.87307880381
2669,1920,83,2014-03-25 17:00:00+00:00,32680.426381626818
1041,1926,83,2014-03-26 12:00:00+00:00,5431.537482121049
3370,2100,83,2014-03-26 14:00:00+00:00,36126.41708047494
4596,501,79,2014-03-28 09:00:00+00:00,16430.80635093449
2726,716,79,2014-03-29 21:00:00+00:00,282401.9059791636
2114,1939,83,2014-03-30 02:00:00+00:00,6129.536545965244
1399,2104,83,2014-03-30 06:00:00+00:00,3921.7509893571937
133,1946,83,2014-03-30 23:00:00+00:00,8901.311979579299
4615,755,79,2014-03-31 16:00:00+00:00,31442.84923011996
3376,2229,83,2014-04-04 18:00:00+00:00,2224.1427785012274
2717,604,79,2014-04-04 23:00:00+00:00,7532.8647558642115
