,obs_id,site_id,timestamp,leaderboard_target,target
0,1992,83,2014-01-02 04:00:00+00:00,private,975.0800604879978
1,1894,83,2014-01-03 15:00:00+00:00,private,28087.11911490217
2,1729,83,2014-01-06 02:00:00+00:00,public,412431.6442034454
3,1794,83,2014-01-13 15:00:00+00:00,public,22095.545590678677
4,1774,83,2014-01-14 22:00:00+00:00,public,33174.053741293115
5,1848,83,2014-01-15 23:00:00+00:00,private,4565.4831287639845
6,2006,83,2014-01-21 06:00:00+00:00,private,790296.2350734824
7,351,79,2014-01-25 10:00:00+00:00,public,63021.52802661422
8,1828,83,2014-01-25 21:00:00+00:00,public,43926.83568159011
9,503,79,2014-01-30 00:00:00+00:00,public,5909.3777198348125
10,427,79,2014-02-01 13:00:00+00:00,public,60367.934509230356
11,1926,83,2014-02-02 20:00:00+00:00,private,6906.151774343418
12,521,79,2014-02-04 11:00:00+00:00,private,7411.17692588001
13,1950,83,2014-02-08 19:00:00+00:00,private,5510.323284601164
14,1785,83,2014-02-12 12:00:00+00:00,public,4304.621492074788
15,1778,83,2014-02-14 13:00:00+00:00,public,55721.62277760159
16,597,79,2014-02-14 17:00:00+00:00,private,12468.571688764074
17,506,79,2014-02-15 18:00:00+00:00,private,7284.004152296295
18,2002,83,2014-02-17 06:00:00+00:00,private,6009.414288947283
19,567,79,2014-02-17 18:00:00+00:00,private,11175.94240670031
20,1972,83,2014-02-17 21:00:00+00:00,private,18564.237651421325
21,1998,83,2014-02-17 23:00:00+00:00,private,1852.337041973356
22,463,79,2014-02-19 15:00:00+00:00,public,15742.307931610694
23,1985,83,2014-02-23 16:00:00+00:00,private,47006.1397424786
24,594,79,2014-02-25 19:00:00+00:00,private,573.4347498145369
25,1747,83,2014-02-27 20:00:00+00:00,public,13831.258431274162
26,1868,83,2014-02-28 04:00:00+00:00,private,24132.085798816897
27,1866,83,2014-02-28 10:00:00+00:00,private,25103.35686723924
28,1704,83,2014-03-02 04:00:00+00:00,public,105424.96363970435
29,617,79,2014-03-02 10:00:00+00:00,private,17395.493236676695
30,1711,83,2014-03-04 01:00:00+00:00,public,3657.6918201686576
31,1841,83,2014-03-05 04:00:00+00:00,public,12185.267847452542
32,1766,83,2014-03-06 09:00:00+00:00,public,23599.76790082963
33,533,79,2014-03-06 12:00:00+00:00,private,9943.117688289442
34,524,79,2014-03-07 17:00:00+00:00,private,11844.890972188576
35,600,79,2014-03-11 13:00:00+00:00,private,7289.586921862181
36,2001,83,2014-03-12 08:00:00+00:00,private,11782.12784199035
37,407,79,2014-03-13 03:00:00+00:00,public,9051.529259782872
38,1840,83,2014-03-14 16:00:00+00:00,public,4967.003309618937
39,608,79,2014-03-15 12:00:00+00:00,private,8490.922532884028
40,579,79,2014-03-16 05:00:00+00:00,private,18510.405820329346
41,1997,83,2014-03-16 08:00:00+00:00,private,13152.682537693403
42,390,79,2014-03-17 14:00:00+00:00,public,143.48495648457677
43,480,79,2014-03-19 19:00:00+00:00,public,120278.04562181933
44,599,79,2014-03-20 19:00:00+00:00,private,3659.2362862721375
45,421,79,2014-03-22 07:00:00+00:00,public,130982.87307880381
46,1812,83,2014-03-26 14:00:00+00:00,public,36126.41708047494
47,405,79,2014-03-28 09:00:00+00:00,public,16430.80635093449
48,620,79,2014-03-29 21:00:00+00:00,private,282401.9059791636
49,1816,83,2014-03-30 06:00:00+00:00,public,3921.7509893571937
50,659,79,2014-03-31 16:00:00+00:00,private,31442.84923011996
